#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr1	1	123556469	1089785	68384517	55.3468	1.24412	35.7	57.9
chr2	1	84979418	818162	49336696	58.0572	1.3573	35.6	58.1
chr3	1	92479059	734721	47831102	51.721	1.11973	35.7	58.1
chr4	1	89535178	721512	46459593	51.8898	1.1358	35.7	57.4
chr5	1	89562946	917161	54123755	60.431	1.44594	35.7	58.5
chr6	1	78113029	733884	44459380	56.9167	1.3253	35.7	57.8
chr7	1	81081596	686366	43420436	53.5515	1.18503	35.5	57.3
chr8	1	76405709	627115	40275149	52.7122	1.15752	35.7	57.4
chr9	1	61171909	730048	40261713	65.8173	1.68524	35.7	58.3
chr10	1	70643054	675969	41061191	58.1249	1.35046	35.7	58.5
chr11	1	74805798	599919	39201562	52.4044	1.13091	35.7	57.4
chr12	1	72970719	541053	36250471	49.6781	1.04462	35.6	58.3
chr13	1	64299765	498445	32298403	50.231	1.09196	35.7	57.7
chr14	1	61112200	439572	29998190	49.0871	1.01377	35.7	58
chr15	1	64676183	528840	34109951	52.7396	1.15257	35.6	58.2
chr16	1	60362399	503207	32080261	53.1461	1.17577	35.7	57.5
chr17	1	65088165	577781	35873233	55.1148	1.25265	35.7	57.1
chr18	1	56472973	561605	32812557	58.1031	1.40361	35.7	57.9
chr19	1	55516201	384895	26445883	47.6363	0.97685	35.6	57.6
chr20	1	58627490	596286	34987130	59.677	1.43647	35.7	58.7
chr21	1	51742555	406676	26870516	51.9312	1.10864	35.7	57.5
chr22	1	61573679	420330	29034090	47.1534	0.963402	35.7	58.4
chr23	1	53134997	404370	27129922	51.0585	1.0731	35.7	58.3
chr24	1	48566227	494412	29255364	60.2381	1.43789	35.7	58.5
chr25	1	51730745	440120	27920185	53.9721	1.20048	35.7	58.3
chr26	1	39257614	428466	24709165	62.9411	1.54258	35.7	57.2
chr27	1	46662488	375556	24265527	52.0022	1.13231	35.6	57.3
chr28	1	41733330	407800	24735749	59.271	1.37981	35.7	58.3
chr29	1	42517134	290467	20189925	47.4866	0.961214	35.6	57.6
chr30	1	40643782	358175	22605867	55.6195	1.24287	35.6	58.5
chr31	1	39901454	307177	19813149	49.6552	1.08455	35.7	58.1
chr32	1	40225481	267091	18721140	46.5405	0.93497	35.7	56.6
chr33	1	32139216	237644	15912551	49.5113	1.03852	35.6	57.6
chr34	1	42397973	347564	22279147	52.5477	1.15794	35.7	57.9
chr35	1	28051305	255774	15273049	54.4468	1.28712	35.7	54.1
chr36	1	31223415	227651	15599787	49.9618	1.02678	35.6	58.4
chr37	1	30785915	245869	16048389	52.129	1.12622	35.7	58.8
chr38	1	24803098	204487	12944675	52.1898	1.161	35.6	57.9
chrX	1	124992030	1040128	67730574	54.1879	1.17555	35.7	55.8
