#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr1	1	123556469	2129966	92653458	74.9888	2.43193	35.7	57.9
chr2	1	84979418	1600074	65707809	77.322	2.65558	35.6	58.1
chr3	1	92479059	1439249	66259896	71.6485	2.1937	35.7	58.1
chr4	1	89535178	1411525	64292076	71.8065	2.22279	35.7	57.4
chr5	1	89562946	1794614	71048917	79.3285	2.82916	35.7	58.5
chr6	1	78113029	1435064	59489659	76.1584	2.59238	35.7	57.8
chr7	1	81081596	1343821	59708387	73.6399	2.32032	35.5	57.3
chr8	1	76405709	1229299	55359864	72.4551	2.26903	35.7	57.5
chr9	1	61171909	1428390	51152545	83.621	3.29766	35.7	58.3
chr10	1	70643054	1325588	54729819	77.4737	2.64728	35.7	58.5
chr11	1	74805798	1172611	54194931	72.4475	2.2105	35.7	57.4
chr12	1	72970719	1059101	50930569	69.7959	2.04486	35.6	58.3
chr13	1	64299765	976276	45005026	69.9925	2.13875	35.7	57.7
chr14	1	61112200	864652	42561690	69.6452	1.99496	35.7	58
chr15	1	64676183	1033808	46954345	72.5991	2.25332	35.6	58.2
chr16	1	60362399	985743	43936013	72.7871	2.30343	35.7	57.6
chr17	1	65088165	1131337	48746941	74.8937	2.45279	35.7	57.1
chr18	1	56472973	1101609	43495021	77.0192	2.7529	35.7	57.9
chr19	1	55516201	753182	37596401	67.7215	1.91161	35.6	57.6
chr20	1	58627490	1165380	45886582	78.268	2.80683	35.7	58.7
chr21	1	51742555	796876	37314636	72.116	2.17317	35.7	57.5
chr22	1	61573679	824147	41485143	67.3748	1.88849	35.7	58.4
chr23	1	53134997	790537	37931002	71.3861	2.09758	35.7	58.3
chr24	1	48566227	967580	38441690	79.1531	2.81393	35.7	58.5
chr25	1	51730745	863709	38279850	73.9983	2.35519	35.7	58.3
chr26	1	39257614	841109	32069403	81.6896	3.02775	35.7	57.2
chr27	1	46662488	735479	33673399	72.1637	2.21755	35.6	57.4
chr28	1	41733330	800907	32827107	78.6592	2.7106	35.7	58.3
chr29	1	42517134	567258	28868125	67.8976	1.87659	35.6	57.6
chr30	1	40643782	700415	30686533	75.5012	2.43003	35.6	58.5
chr31	1	39901454	603533	27615232	69.2086	2.13022	35.7	58.1
chr32	1	40225481	522885	26980358	67.0728	1.83096	35.6	56.7
chr33	1	32139216	465368	22366806	69.5935	2.03548	35.6	57.6
chr34	1	42397973	680907	30767124	72.5674	2.26865	35.7	57.9
chr35	1	28051305	500031	20837469	74.2834	2.51641	35.7	54.1
chr36	1	31223415	445871	22047541	70.6122	2.01136	35.6	58.4
chr37	1	30785915	481328	22169947	72.0133	2.20527	35.7	58.8
chr38	1	24803098	400740	17733289	71.4963	2.27419	35.6	57.9
chrX	1	124992030	2039269	93362444	74.6947	2.30432	35.7	55.8
