#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr1	1	123556469	1428822	78603347	63.6173	1.63114	35.7	57.9
chr2	1	84979418	1073536	56332362	66.2894	1.78098	35.6	58.1
chr3	1	92479059	964682	55458391	59.9686	1.47021	35.7	58.1
chr4	1	89535178	947062	53883045	60.1809	1.491	35.7	57.4
chr5	1	89562946	1203087	61418195	68.5755	1.89693	35.7	58.5
chr6	1	78113029	961803	50863580	65.1154	1.73736	35.7	57.8
chr7	1	81081596	900305	50214455	61.9308	1.55463	35.5	57.3
chr8	1	76405709	823916	46590220	60.9774	1.52088	35.7	57.4
chr9	1	61171909	958571	45131673	73.7784	2.21287	35.7	58.3
chr10	1	70643054	888326	46909966	66.4042	1.77456	35.7	58.5
chr11	1	74805798	786889	45458737	60.769	1.48338	35.7	57.4
chr12	1	72970719	709745	42242817	57.8901	1.37031	35.6	58.3
chr13	1	64299765	654284	37516676	58.3465	1.4336	35.7	57.7
chr14	1	61112200	578071	35153680	57.5232	1.33371	35.7	58
chr15	1	64676183	693958	39476539	61.0372	1.51239	35.6	58.2
chr16	1	60362399	660815	37051872	61.3824	1.54409	35.7	57.6
chr17	1	65088165	758519	41308156	63.4649	1.64465	35.7	57.1
chr18	1	56472973	737734	37392994	66.214	1.84372	35.7	57.9
chr19	1	55516201	504958	30982354	55.8078	1.28143	35.6	57.6
chr20	1	58627490	782108	39679619	67.6809	1.88385	35.7	58.7
chr21	1	51742555	533346	31179515	60.2589	1.4544	35.7	57.5
chr22	1	61573679	551420	34077206	55.3438	1.26378	35.7	58.4
chr23	1	53134997	530697	31596751	59.465	1.40843	35.7	58.3
chr24	1	48566227	647997	33203078	68.3666	1.88456	35.7	58.4
chr25	1	51730745	578398	32258597	62.3587	1.57747	35.7	58.3
chr26	1	39257614	563206	27960230	71.2224	2.02699	35.7	57.2
chr27	1	46662488	492172	28162918	60.3545	1.4842	35.6	57.3
chr28	1	41733330	535479	28208340	67.5919	1.81151	35.7	58.3
chr29	1	42517134	380826	23712192	55.7709	1.25999	35.6	57.6
chr30	1	40643782	469734	26010246	63.9956	1.6299	35.6	58.5
chr31	1	39901454	403686	22997161	57.6349	1.42512	35.7	58.1
chr32	1	40225481	350287	22073746	54.875	1.2263	35.6	56.6
chr33	1	32139216	311856	18559930	57.7485	1.36343	35.6	57.6
chr34	1	42397973	455887	25803399	60.86	1.51911	35.7	57.9
chr35	1	28051305	335553	17616024	62.7993	1.68891	35.7	54.1
chr36	1	31223415	298554	18255597	58.4676	1.34688	35.6	58.5
chr37	1	30785915	322849	18589498	60.3831	1.47901	35.7	58.8
chr38	1	24803098	268816	14928654	60.1887	1.52584	35.6	57.9
chrX	1	124992030	1365821	78450452	62.7644	1.54352	35.7	55.8
