#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr1	1	123556469	2220165	93993721	76.0735	2.53476	35.7	57.9
chr2	1	84979418	1667587	66583239	78.3522	2.7678	35.6	58.1
chr3	1	92479059	1500483	67314349	72.7887	2.28711	35.7	58.1
chr4	1	89535178	1471768	65320994	72.9557	2.31763	35.7	57.4
chr5	1	89562946	1870842	71922156	80.3035	2.94927	35.7	58.5
chr6	1	78113029	1495892	60306270	77.2039	2.70224	35.7	57.8
chr7	1	81081596	1400947	60613745	74.7565	2.41903	35.5	57.3
chr8	1	76405709	1282061	56219812	73.5806	2.36643	35.7	57.5
chr9	1	61171909	1489173	51687254	84.4951	3.43789	35.7	58.3
chr10	1	70643054	1381758	55461492	78.5095	2.75953	35.7	58.5
chr11	1	74805798	1222693	55050865	73.5917	2.30505	35.7	57.4
chr12	1	72970719	1104466	51793269	70.9782	2.13261	35.6	58.3
chr13	1	64299765	1018003	45733127	71.1249	2.23002	35.7	57.7
chr14	1	61112200	901470	43290085	70.8371	2.07985	35.7	58
chr15	1	64676183	1077847	47678655	73.719	2.3492	35.6	58.2
chr16	1	60362399	1027870	44591434	73.8729	2.40194	35.7	57.6
chr17	1	65088165	1179530	49449955	75.9738	2.55731	35.7	57.1
chr18	1	56472973	1148515	44056510	78.0134	2.87014	35.7	57.9
chr19	1	55516201	784949	38239834	68.8805	1.99227	35.6	57.6
chr20	1	58627490	1214906	46479593	79.2795	2.9261	35.7	58.7
chr21	1	51742555	830970	37894193	73.236	2.26617	35.7	57.5
chr22	1	61573679	858822	42210466	68.5528	1.968	35.7	58.4
chr23	1	53134997	824515	38560366	72.5706	2.18761	35.7	58.3
chr24	1	48566227	1008908	38916851	80.1315	2.93423	35.7	58.5
chr25	1	51730745	900247	38875795	75.1503	2.45475	35.7	58.3
chr26	1	39257614	876620	32431260	82.6114	3.15549	35.7	57.2
chr27	1	46662488	766745	34204582	73.3021	2.31177	35.6	57.3
chr28	1	41733330	835017	33259687	79.6957	2.82627	35.7	58.3
chr29	1	42517134	591333	29385083	69.1135	1.95634	35.6	57.6
chr30	1	40643782	729651	31119775	76.5671	2.53169	35.6	58.5
chr31	1	39901454	629319	28083660	70.3825	2.22148	35.7	58.1
chr32	1	40225481	545162	27466397	68.2811	1.9088	35.6	56.6
chr33	1	32139216	485141	22739562	70.7533	2.12204	35.6	57.6
chr34	1	42397973	709888	31237222	73.6762	2.36514	35.7	57.9
chr35	1	28051305	521495	21152626	75.4069	2.62428	35.6	54.1
chr36	1	31223415	465072	22424762	71.8203	2.09797	35.6	58.4
chr37	1	30785915	502205	22525948	73.1697	2.30103	35.7	58.8
chr38	1	24803098	417642	18014300	72.6292	2.37008	35.6	57.9
chrX	1	124992030	2126236	94792806	75.8391	2.40253	35.7	55.8
