#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr1	1	123556469	953651	63375519	51.2928	1.08876	35.7	57.9
chr2	1	84979418	715528	45838946	53.9412	1.18711	35.7	58
chr3	1	92479059	642834	44090922	47.6767	0.979562	35.7	58.1
chr4	1	89535178	631511	42904164	47.9188	0.993971	35.7	57.4
chr5	1	89562946	803044	50384205	56.2556	1.26594	35.7	58.5
chr6	1	78113029	642455	41317183	52.8941	1.16013	35.7	57.8
chr7	1	81081596	600759	40103737	49.461	1.03705	35.5	57.3
chr8	1	76405709	549206	37261458	48.7679	1.01376	35.7	57.4
chr9	1	61171909	639429	37745888	61.7046	1.47596	35.7	58.2
chr10	1	70643054	592056	38198060	54.0719	1.18275	35.7	58.5
chr11	1	74805798	525148	36201573	48.3941	0.990095	35.7	57.3
chr12	1	72970719	473949	33385186	45.7515	0.91495	35.6	58.3
chr13	1	64299765	436055	29784044	46.3206	0.955485	35.7	57.7
chr14	1	61112200	385582	27604655	45.1704	0.88944	35.7	58
chr15	1	64676183	463322	31533768	48.7564	1.00962	35.6	58.2
chr16	1	60362399	440377	29648198	49.117	1.02889	35.7	57.5
chr17	1	65088165	505194	33240473	51.0699	1.09542	35.7	57.1
chr18	1	56472973	491353	30520020	54.0436	1.22795	35.7	57.9
chr19	1	55516201	336523	24264366	43.7068	0.854132	35.6	57.6
chr20	1	58627490	522120	32609852	55.6221	1.25797	35.7	58.7
chr21	1	51742555	355919	24798389	47.9265	0.970172	35.7	57.5
chr22	1	61573679	367801	26646811	43.2763	0.843062	35.7	58.4
chr23	1	53134997	353406	24947907	46.9519	0.937718	35.7	58.3
chr24	1	48566227	432581	27236002	56.0801	1.25817	35.7	58.5
chr25	1	51730745	385503	25843617	49.9579	1.05145	35.7	58.3
chr26	1	39257614	374835	23078334	58.7869	1.34973	35.7	57.2
chr27	1	46662488	328526	22379942	47.9613	0.9906	35.6	57.3
chr28	1	41733330	356766	22985503	55.0771	1.20712	35.7	58.4
chr29	1	42517134	254096	18530091	43.5826	0.840916	35.6	57.6
chr30	1	40643782	313406	20918686	51.4684	1.08773	35.6	58.5
chr31	1	39901454	268997	18295710	45.8522	0.949798	35.7	58.1
chr32	1	40225481	233560	17136494	42.6011	0.817397	35.7	56.6
chr33	1	32139216	207513	14646737	45.5728	0.906648	35.6	57.6
chr34	1	42397973	304235	20596600	48.5792	1.0136	35.7	57.9
chr35	1	28051305	223648	14131767	50.3783	1.12566	35.7	54.1
chr36	1	31223415	199496	14341268	45.9311	0.89967	35.6	58.4
chr37	1	30785915	214969	14802588	48.0823	0.984581	35.7	58.7
chr38	1	24803098	179384	11989135	48.3372	1.01843	35.6	57.9
chrX	1	124992030	910285	62544396	50.0387	1.0288	35.7	55.8
