#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr1	1	123556469	885169	60612426	49.0565	1.01057	35.7	57.9
chr2	1	84979418	664310	43899102	51.6585	1.10214	35.7	58
chr3	1	92479059	596963	42091693	45.5148	0.909696	35.7	58.1
chr4	1	89535178	586270	40965718	45.7538	0.922834	35.7	57.4
chr5	1	89562946	745687	48309146	53.9388	1.17558	35.7	58.5
chr6	1	78113029	596563	39548843	50.6303	1.07725	35.7	57.8
chr7	1	81081596	557887	38311542	47.2506	0.963078	35.5	57.3
chr8	1	76405709	510106	35588062	46.5778	0.941715	35.7	57.4
chr9	1	61171909	593345	36323841	59.3799	1.36946	35.7	58.2
chr10	1	70643054	549663	36592531	51.7992	1.0979	35.7	58.5
chr11	1	74805798	487562	34553694	46.1912	0.91932	35.7	57.4
chr12	1	72970719	440161	31814258	43.5987	0.849693	35.6	58.3
chr13	1	64299765	405013	28417944	44.196	0.887332	35.7	57.7
chr14	1	61112200	357973	26290066	43.0193	0.825813	35.7	58
chr15	1	64676183	429895	30105239	46.5476	0.936795	35.6	58.2
chr16	1	60362399	409198	28340890	46.9512	0.956139	35.7	57.5
chr17	1	65088165	469134	31779835	48.8258	1.01734	35.7	57.1
chr18	1	56472973	456302	29276134	51.841	1.14032	35.7	57.9
chr19	1	55516201	312722	23116843	41.6398	0.793794	35.6	57.6
chr20	1	58627490	484861	31298356	53.3851	1.16821	35.7	58.7
chr21	1	51742555	330574	23639074	45.6859	0.90107	35.7	57.5
chr22	1	61573679	341768	25387569	41.2312	0.783353	35.7	58.4
chr23	1	53134997	328211	23793729	44.7798	0.870871	35.7	58.3
chr24	1	48566227	401549	26131587	53.8061	1.16818	35.7	58.5
chr25	1	51730745	357864	24686643	47.7214	0.976056	35.7	58.3
chr26	1	39257614	348199	22171359	56.4766	1.25382	35.7	57.2
chr27	1	46662488	305178	21374758	45.8072	0.920351	35.6	57.3
chr28	1	41733330	331126	22016199	52.7545	1.1203	35.7	58.4
chr29	1	42517134	236438	17650645	41.5142	0.782399	35.6	57.6
chr30	1	40643782	290879	20000575	49.2094	1.00943	35.6	58.5
chr31	1	39901454	249702	17457796	43.7523	0.881658	35.7	58.1
chr32	1	40225481	217189	16296138	40.512	0.76003	35.7	56.6
chr33	1	32139216	192511	13951430	43.4094	0.841081	35.6	57.6
chr34	1	42397973	282586	19678367	46.4135	0.941553	35.7	57.9
chr35	1	28051305	207743	13505944	48.1473	1.04576	35.7	54.1
chr36	1	31223415	185405	13673047	43.791	0.836296	35.6	58.5
chr37	1	30785915	199449	14138069	45.9238	0.913625	35.7	58.7
chr38	1	24803098	166842	11463520	46.2181	0.947133	35.6	57.9
chrX	1	124992030	845494	59712363	47.7729	0.955629	35.7	55.8
