#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr1	1	123556469	794448	56617707	45.8233	0.907034	35.7	57.9
chr2	1	84979418	595674	41106804	48.3727	0.988508	35.6	58
chr3	1	92479059	535725	39205629	42.3941	0.816243	35.7	58.1
chr4	1	89535178	526125	38155767	42.6154	0.828195	35.7	57.4
chr5	1	89562946	669181	45337547	50.6209	1.05497	35.7	58.5
chr6	1	78113029	535134	36997842	47.3645	0.966267	35.7	57.8
chr7	1	81081596	500845	35714707	44.0479	0.864568	35.5	57.3
chr8	1	76405709	457791	33217375	43.475	0.845182	35.7	57.4
chr9	1	61171909	531884	34180759	55.8766	1.22756	35.7	58.3
chr10	1	70643054	492887	34238258	48.4666	0.984427	35.7	58.5
chr11	1	74805798	437907	32202931	43.0487	0.825641	35.7	57.4
chr12	1	72970719	394449	29554668	40.5021	0.761373	35.6	58.3
chr13	1	64299765	363729	26485292	41.1903	0.796819	35.7	57.7
chr14	1	61112200	320892	24420185	39.9596	0.740261	35.7	58
chr15	1	64676183	385856	28098215	43.4445	0.840897	35.6	58.2
chr16	1	60362399	367296	26456294	43.8291	0.858225	35.7	57.5
chr17	1	65088165	420981	29690989	45.6166	0.912894	35.7	57.1
chr18	1	56472973	408903	27435639	48.5819	1.02186	35.7	57.9
chr19	1	55516201	280705	21456656	38.6494	0.712689	35.6	57.6
chr20	1	58627490	434782	29391672	50.1329	1.04773	35.7	58.7
chr21	1	51742555	297100	22041126	42.5977	0.809841	35.7	57.5
chr22	1	61573679	306861	23579282	38.2944	0.703323	35.7	58.4
chr23	1	53134997	294585	22121744	41.6331	0.781591	35.7	58.3
chr24	1	48566227	360217	24501892	50.4505	1.04773	35.7	58.5
chr25	1	51730745	321021	23041212	44.5407	0.875559	35.7	58.3
chr26	1	39257614	311956	20819667	53.0334	1.12333	35.7	57.2
chr27	1	46662488	273813	19894012	42.6338	0.825704	35.6	57.3
chr28	1	41733330	297039	20632725	49.4394	1.005	35.7	58.3
chr29	1	42517134	211826	16370242	38.5027	0.701005	35.6	57.6
chr30	1	40643782	260803	18671322	45.9389	0.905076	35.6	58.5
chr31	1	39901454	224160	16266401	40.7664	0.791498	35.7	58.1
chr32	1	40225481	194890	15079716	37.488	0.681961	35.7	56.6
chr33	1	32139216	172788	12981875	40.3926	0.755359	35.6	57.6
chr34	1	42397973	253365	18340751	43.2586	0.844294	35.7	58
chr35	1	28051305	186644	12627145	45.0145	0.93973	35.7	54.2
chr36	1	31223415	166191	12682864	40.6197	0.749532	35.6	58.5
chr37	1	30785915	178956	13171073	42.7828	0.819539	35.6	58.8
chr38	1	24803098	149681	10703165	43.1525	0.849726	35.6	57.9
chrX	1	124992030	758244	55623461	44.5016	0.857033	35.7	55.8
