#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr1	1	123556469	476849	39548017	32.0081	0.544495	35.7	57.9
chr2	1	84979418	357150	28953318	34.071	0.592461	35.6	58
chr3	1	92479059	320905	27068096	29.2694	0.488882	35.7	58.1
chr4	1	89535178	315644	26372617	29.455	0.496943	35.7	57.4
chr5	1	89562946	401633	32243002	36.0004	0.633145	35.7	58.5
chr6	1	78113029	320802	26001050	33.2864	0.579141	35.7	57.8
chr7	1	81081596	299863	24761608	30.5391	0.51772	35.5	57.3
chr8	1	76405709	274113	22975473	30.0704	0.505865	35.7	57.4
chr9	1	61171909	319372	24778604	40.5065	0.736902	35.7	58.3
chr10	1	70643054	295666	24146675	34.1812	0.590536	35.7	58.5
chr11	1	74805798	261959	22172894	29.6406	0.493737	35.7	57.3
chr12	1	72970719	235392	20163509	27.6323	0.454234	35.6	58.3
chr13	1	64299765	218219	18281276	28.4313	0.478099	35.7	57.7
chr14	1	61112200	192742	16685116	27.3024	0.444623	35.7	58
chr15	1	64676183	231934	19463738	30.0941	0.505644	35.6	58.2
chr16	1	60362399	220280	18361612	30.419	0.514523	35.7	57.5
chr17	1	65088165	252763	20721544	31.8361	0.547774	35.7	57.1
chr18	1	56472973	245225	19503504	34.536	0.613066	35.7	57.9
chr19	1	55516201	168101	14581304	26.265	0.426787	35.6	57.5
chr20	1	58627490	260701	20959951	35.7511	0.628291	35.7	58.7
chr21	1	51742555	178759	15207534	29.3908	0.486932	35.7	57.5
chr22	1	61573679	183797	16002876	25.9898	0.421359	35.7	58.4
chr23	1	53134997	177040	15160863	28.5327	0.469477	35.7	58.3
chr24	1	48566227	215926	17393426	35.8138	0.628133	35.7	58.5
chr25	1	51730745	192558	16064662	31.0544	0.525245	35.6	58.3
chr26	1	39257614	186805	14823727	37.7601	0.672627	35.7	57.2
chr27	1	46662488	164148	13733850	29.4323	0.4951	35.6	57.3
chr28	1	41733330	177809	14540067	34.8404	0.601675	35.7	58.4
chr29	1	42517134	126771	11054273	25.9996	0.419398	35.6	57.6
chr30	1	40643782	156703	13003637	31.9942	0.543681	35.6	58.5
chr31	1	39901454	134550	11280247	28.2703	0.474976	35.7	58.1
chr32	1	40225481	116733	10156318	25.2485	0.408832	35.6	56.6
chr33	1	32139216	103609	8868695	27.5946	0.453114	35.6	57.7
chr34	1	42397973	152884	12751071	30.0747	0.509587	35.7	58
chr35	1	28051305	111977	8789965	31.3353	0.5639	35.7	54.1
chr36	1	31223415	100000	8678413	27.7946	0.45092	35.6	58.4
chr37	1	30785915	106927	9055074	29.413	0.489393	35.6	58.7
chr38	1	24803098	89248	7415992	29.8995	0.506285	35.6	57.8
chrX	1	124992030	454841	38373961	30.7011	0.513882	35.7	55.8
