#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr1	1	123556469	839667	58654127	47.4715	0.958661	35.7	57.9
chr2	1	84979418	630000	42536391	50.0549	1.04531	35.6	58
chr3	1	92479059	566380	40679494	43.9878	0.862939	35.7	58.1
chr4	1	89535178	556184	39585957	44.2127	0.875392	35.7	57.4
chr5	1	89562946	707167	46852672	52.3126	1.11486	35.7	58.5
chr6	1	78113029	565573	38284601	49.0118	1.02116	35.7	57.8
chr7	1	81081596	529466	37050360	45.6952	0.91401	35.5	57.3
chr8	1	76405709	483953	34418369	45.0469	0.893408	35.7	57.4
chr9	1	61171909	563117	35293382	57.6954	1.29967	35.7	58.2
chr10	1	70643054	521628	35438345	50.1654	1.04179	35.7	58.5
chr11	1	74805798	462588	33390422	44.6361	0.872316	35.7	57.4
chr12	1	72970719	417172	30701400	42.0736	0.805223	35.6	58.3
chr13	1	64299765	384385	27475172	42.7298	0.842083	35.7	57.7
chr14	1	61112200	339401	25369370	41.5128	0.782982	35.7	58
chr15	1	64676183	407815	29120346	45.0248	0.888705	35.6	58.2
chr16	1	60362399	387904	27398129	45.3894	0.906349	35.7	57.5
chr17	1	65088165	445018	30746166	47.2377	0.964924	35.7	57.1
chr18	1	56472973	432760	28400658	50.2907	1.08146	35.7	57.9
chr19	1	55516201	296714	22297926	40.1647	0.753194	35.6	57.6
chr20	1	58627490	459791	30377207	51.8139	1.10792	35.7	58.7
chr21	1	51742555	313815	22861607	44.1834	0.855414	35.7	57.5
chr22	1	61573679	324205	24497102	39.785	0.743097	35.7	58.4
chr23	1	53134997	311214	22963864	43.218	0.825712	35.7	58.3
chr24	1	48566227	380670	25342159	52.1806	1.1074	35.7	58.5
chr25	1	51730745	339254	23881160	46.1643	0.925309	35.7	58.3
chr26	1	39257614	329871	21508564	54.7883	1.18793	35.7	57.2
chr27	1	46662488	289855	20663859	44.2837	0.87418	35.6	57.3
chr28	1	41733330	313886	21326488	51.1018	1.06185	35.7	58.3
chr29	1	42517134	224066	17017878	40.0259	0.741465	35.6	57.6
chr30	1	40643782	275807	19351820	47.6132	0.957032	35.6	58.5
chr31	1	39901454	236857	16874282	42.2899	0.836218	35.7	58.1
chr32	1	40225481	205983	15693360	39.0135	0.720849	35.7	56.6
chr33	1	32139216	182629	13483671	41.954	0.798245	35.6	57.6
chr34	1	42397973	267905	19028429	44.8805	0.892674	35.7	57.9
chr35	1	28051305	197078	13068100	46.5864	0.992267	35.7	54.1
chr36	1	31223415	175771	13193576	42.2554	0.792757	35.6	58.5
chr37	1	30785915	189253	13671310	44.4077	0.866823	35.6	58.7
chr38	1	24803098	158192	11090828	44.7155	0.898114	35.6	57.9
chrX	1	124992030	802072	57719855	46.1788	0.90657	35.7	55.8
