#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr1	1	123556469	136397	13578526	10.9897	0.15565	35.7	57.9
chr2	1	84979418	101982	10102960	11.8887	0.169208	35.6	58
chr3	1	92479059	91642	9186209	9.93329	0.139659	35.7	58
chr4	1	89535178	89872	8941022	9.98604	0.141565	35.7	57.4
chr5	1	89562946	115188	11378723	12.7047	0.181598	35.7	58.6
chr6	1	78113029	91368	9035256	11.5669	0.164995	35.7	57.8
chr7	1	81081596	86174	8485601	10.4655	0.148799	35.6	57.3
chr8	1	76405709	78523	7862271	10.2902	0.144909	35.7	57.4
chr9	1	61171909	90880	8932408	14.6021	0.209649	35.7	58.2
chr10	1	70643054	83624	8345279	11.8133	0.167223	35.7	58.6
chr11	1	74805798	75272	7548064	10.0902	0.141997	35.6	57.3
chr12	1	72970719	67398	6764773	9.27053	0.130019	35.6	58.3
chr13	1	64299765	62641	6236067	9.69843	0.137252	35.7	57.7
chr14	1	61112200	54786	5503891	9.00621	0.126288	35.7	58.1
chr15	1	64676183	66137	6618269	10.2329	0.144191	35.6	58.2
chr16	1	60362399	62658	6258061	10.3675	0.146279	35.7	57.6
chr17	1	65088165	72418	7130597	10.9553	0.156792	35.7	57.1
chr18	1	56472973	70128	6881457	12.1854	0.175358	35.6	58
chr19	1	55516201	48101	4851969	8.73974	0.12212	35.6	57.6
chr20	1	58627490	74246	7369170	12.5695	0.178861	35.7	58.7
chr21	1	51742555	51043	5137893	9.92972	0.139188	35.7	57.6
chr22	1	61573679	52703	5314975	8.63189	0.120652	35.7	58.4
chr23	1	53134997	50532	5073858	9.54899	0.13383	35.7	58.3
chr24	1	48566227	62688	6211293	12.7893	0.182543	35.7	58.4
chr25	1	51730745	54807	5483552	10.6002	0.149691	35.7	58.3
chr26	1	39257614	53340	5243241	13.356	0.191925	35.7	57.1
chr27	1	46662488	46580	4654508	9.97484	0.140597	35.6	57.3
chr28	1	41733330	51145	5084261	12.1827	0.173058	35.7	58.3
chr29	1	42517134	36133	3640926	8.56343	0.119652	35.6	57.6
chr30	1	40643782	45090	4495005	11.0595	0.156322	35.6	58.4
chr31	1	39901454	37978	3794862	9.51059	0.133773	35.7	58.1
chr32	1	40225481	33430	3344693	8.31486	0.116888	35.7	56.6
chr33	1	32139216	29607	2958854	9.20637	0.129329	35.6	57.7
chr34	1	42397973	43754	4361621	10.2873	0.145669	35.7	58
chr35	1	28051305	32004	3041540	10.8428	0.16104	35.6	54.1
chr36	1	31223415	28895	2915165	9.33647	0.130494	35.7	58.4
chr37	1	30785915	30392	3046065	9.89435	0.139075	35.6	58.6
chr38	1	24803098	25451	2528846	10.1957	0.144331	35.6	57.9
chrX	1	124992030	129540	12963416	10.3714	0.146337	35.7	55.8
