#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr1	1	123556469	657780	49914015	40.3977	0.751021	35.7	57.9
chr2	1	84979418	493403	36391773	42.8242	0.818568	35.6	58
chr3	1	92479059	444023	34462120	37.2648	0.676425	35.7	58.1
chr4	1	89535178	435829	33516107	37.4335	0.686161	35.7	57.4
chr5	1	89562946	554856	40310990	45.0086	0.874826	35.7	58.5
chr6	1	78113029	443308	32749457	41.9257	0.800389	35.7	57.8
chr7	1	81081596	414504	31432060	38.766	0.715652	35.5	57.3
chr8	1	76405709	379069	29221972	38.2458	0.699802	35.7	57.4
chr9	1	61171909	441006	30585536	49.9993	1.01756	35.7	58.2
chr10	1	70643054	408235	30339276	42.9473	0.815275	35.7	58.5
chr11	1	74805798	361737	28212429	37.7142	0.681953	35.7	57.3
chr12	1	72970719	327038	25906003	35.5019	0.63119	35.6	58.3
chr13	1	64299765	301916	23288452	36.2186	0.661507	35.7	57.7
chr14	1	61112200	265668	21318253	34.8838	0.612817	35.7	58
chr15	1	64676183	319873	24698674	38.1882	0.69712	35.6	58.2
chr16	1	60362399	304201	23280717	38.5682	0.710845	35.7	57.5
chr17	1	65088165	349249	26206976	40.2638	0.757123	35.7	57.1
chr18	1	56472973	338352	24322595	43.0694	0.845694	35.7	57.9
chr19	1	55516201	232478	18723825	33.7268	0.590181	35.6	57.6
chr20	1	58627490	359729	26121832	44.5556	0.866831	35.7	58.7
chr21	1	51742555	246500	19343747	37.3846	0.671754	35.7	57.5
chr22	1	61573679	254027	20576114	33.4171	0.58245	35.7	58.4
chr23	1	53134997	244197	19356017	36.428	0.647762	35.7	58.3
chr24	1	48566227	298523	21780633	44.8473	0.86843	35.7	58.5
chr25	1	51730745	266089	20314135	39.269	0.725652	35.7	58.3
chr26	1	39257614	258446	18511212	47.1532	0.93061	35.7	57.2
chr27	1	46662488	226779	17481209	37.4631	0.684157	35.6	57.3
chr28	1	41733330	245656	18261621	43.7579	0.831	35.7	58.3
chr29	1	42517134	175464	14260338	33.5402	0.580405	35.6	57.6
chr30	1	40643782	215898	16452749	40.4804	0.749301	35.6	58.5
chr31	1	39901454	185691	14306354	35.8542	0.655629	35.7	58.1
chr32	1	40225481	161635	13108852	32.5884	0.565621	35.7	56.6
chr33	1	32139216	142980	11347819	35.3083	0.625125	35.6	57.6
chr34	1	42397973	210205	16151907	38.0959	0.700484	35.7	58
chr35	1	28051305	154456	11111522	39.6114	0.777923	35.7	54.1
chr36	1	31223415	137832	11106839	35.5721	0.621715	35.6	58.5
chr37	1	30785915	148239	11567472	37.5739	0.678612	35.6	58.8
chr38	1	24803098	123831	9423895	37.9948	0.702787	35.6	57.9
chrX	1	124992030	627693	48820412	39.0588	0.709381	35.7	55.8
